,Start,End,Range,Midpoint,Type,Abbrev,Part_of,Name,Source,Col_R,Col_G,Col_B
85,453,445.2,7.8,449.1,Age,Kat,Ordovician,Katian,ICS,153,214,159
86,458.4,453,5.4,455.7,Age,Sand,Ordovician,Sandbian,ICS,140,208,148
87,467.3,458.4,8.9,462.85,Age,Darr,Ordovician,Darriwilian,ICS,116,198,156
88,470,467.3,2.7,468.65,Age,Dap,Ordovician,Dapingian,ICS,102,192,146
89,477.7,470,7.7,473.85,Age,Floi,Ordovician,Floian,ICS,65,176,135
90,485.4,477.7,7.7,481.55,Age,Trem,Ordovician,Tremadocian,ICS,51,169,126
91,489.5,485.4,4.1,487.45,Age,Sta10,Cambrian,Stage10,ICS,230,245,201
92,494,489.5,4.5,491.75,Age,Jian,Cambrian,Jiangshanian,ICS,217,240,187
93,497,494,3,495.5,Age,Paib,Cambrian,Paibian,ICS,204,235,174
94,500.5,497,3.5,498.75,Age,Guz,Cambrian,Guzhangian,ICS,204,223,170
95,504.5,500.5,4,502.5,Age,Drum,Cambrian,Drumian,ICS,191,217,157
96,509,504.5,4.5,506.75,Age,Sta5,Cambrian,Stage5,ICS,179,212,146
97,514,509,5,511.5,Age,Sta4,Cambrian,Stage4,ICS,179,202,142
98,521,514,7,517.5,Age,Sta3,Cambrian,Stage3,ICS,166,197,131
99,529,521,8,525,Age,Sta2,Cambrian,Stage2,ICS,166,186,128
100,541,529,12,535,Age,Fort,Cambrian,Fortunian,ICS,153,181,117
